espanol,quechua_texto,tipo_habla,nivel_formalidad,tema
Me siento muy cansado.,Ancha sayk'usqan kachkani.,respuesta breve,informal,sintomas
Me duelen los huesos con el frío.,Tulluykunan nanawan chiripipi.,respuesta breve,informal,sintomas
Tengo mareos frecuentes.,Ashka kutitan umay muyun.,respuesta breve,informal,sintomas
Me salieron ronchas en los brazos.,Makiykunapi sillukuna lloqsimun.,respuesta breve,informal,sintomas
Me falta el aire al caminar.,Samay pisiwanmi purishaspay.,respuesta breve,informal,sintomas
Su hijo tiene infección en el oído.,Wawaykiqpa ninrinpin onqoy kashan.,dialogo medico,informal,diagnostico
Su azúcar en sangre está elevada.,Yawarniykipi misk'iqa ancha hawan kashan.,dialogo medico,informal,diagnostico
Tiene una fractura en el brazo.,Makiykipin tullu p'akisqa kashan.,dialogo medico,informal,diagnostico
Usted tiene parásitos intestinales.,Qanqa wiksa kuruyoqmi kanki.,dialogo medico,informal,diagnostico
Su hemoglobina está muy baja.,Yawarniykipi hemoglobinayqa ancha urayman kashan.,dialogo medico,informal,diagnostico
Termine todo el antibiótico.,Tukuy antibioticota tukuchiy.,dialogo medico,informal,tratamiento
Póngase esta pomada dos veces al día.,Kay hampit'a churakuy iskay kutita sapa p'unchay.,dialogo medico,informal,tratamiento
Tome una cucharada cada ocho horas.,Huk wislla hunt'ata tomay sapa pusaq horasta.,dialogo medico,informal,tratamiento
No tome la pastilla en ayunas.,Ama pastillata tomaychu mana mikhuspa.,dialogo medico,informal,tratamiento
Traiga la tarjeta de vacunación.,Vacuna tarjetaykita apamuy.,dialogo medico,informal,vacunacion
La vacuna de influenza es cada año.,Influenza vacunaqa sapa watatan.,dialogo medico,informal,vacunacion
Los abuelos también deben vacunarse.,Machulakunapas vacunakunankutan tiyan.,dialogo medico,informal,vacunacion
Esta vacuna protege contra cinco males.,Kay vacunaqa pisqa onqoymanta amachan.,dialogo medico,informal,vacunacion
El dolor de la vacuna pasa rápido.,Vacunaq nanaynin usqhayllata pasapun.,dialogo medico,informal,vacunacion
Use sombrero para protegerse del sol.,Chukuta churakuy intimanta amachakunaykipaq.,dialogo medico,informal,prevencion
Camine treinta minutos cada día.,Kimsa chunka minutota puriy sapa p'unchay.,dialogo medico,informal,prevencion
Lave las frutas antes de comerlas.,Frutakunata mayllay manaraq mikhuspayki.,dialogo medico,informal,prevencion
Coma bien durante el embarazo.,Allinta mikhuy onqosqa kashaspayki.,dialogo medico,informal,salud materno-infantil
La leche materna es el mejor alimento.,Mamaq ñukñunmi aswan allin mikhuna.,dialogo medico,informal,salud materno-infantil
Traiga al bebé para su control de peso.,Wawata apamuy llasayninta qhawachinaykipaq.,dialogo medico,informal,salud materno-infantil
Venga cada mes a controlarse la presión.,Sapa killata hamuy presionniykita qhawachikuq.,dialogo medico,informal,seguimiento
Hágase análisis de azúcar cada tres meses.,Kinsa killamanta yawar misk'i analisisniykita ruwachikuy.,dialogo medico,informal,seguimiento
¿Le cayó mal algún medicamento?,¿Ima hampichus mana allintan chayasunki?,entrevista,informal,seguimiento
Su presión está mejor controlada ahora.,Kunanqa presionniykiqa aswan allinñan kashan.,dialogo medico,informal,seguimiento
Venga cada dos meses por su diabetes.,Iskay killamanta hamuy diabetesniykimanta.,dialogo medico,informal,seguimiento
No corte la mordedura de serpiente.,Ama kuchuychu mach'aqway kanisqanta.,dialogo medico,informal,emergencias
Dele golpes suaves en la espalda si se atora.,Wasanpi llamp'uta takay sipikunan kaptinqa.,dialogo medico,informal,emergencias
Manténgalo despierto hasta que llegue ayuda.,Rikch'asqata hap'iy yanapay chayamunankama.,dialogo medico,informal,emergencias
Aparte objetos peligrosos si convulsiona.,Manchay imakunata karunchay thaltikuptinqa.,dialogo medico,informal,emergencias
Traiga al niño si la fiebre no baja.,Wawata apamuy ruphay mana uraykuptinqa.,dialogo medico,informal,emergencias
Respire profundo cuando se sienta ansioso.,Ukhumanta samay llakisqa kachkaspayki.,dialogo medico,informal,salud mental
Los problemas emocionales necesitan atención.,Sonqo llakiykunaqa qhawana kanan tiyan.,narracion,informal,salud mental
Caminar al aire libre mejora el ánimo.,Hawa wayra ukhuta puriyqa sonqota allinchan.,narracion,informal,salud mental
No tenga vergüenza de pedir ayuda.,Ama p'enqakuychu yanapata mañakuspa.,dialogo medico,informal,salud mental
El alcohol empeora los problemas emocionales.,Tragoman sonqo llakiykunata aswan millayman tukuchin.,narracion,informal,salud mental
Proteja sus labios con vaselina.,Simiykikunata wirawan qhaway.,dialogo medico,informal,enfermedades alto-andinas
El sol quema más fuerte en la altura.,Intiq ruphaynin aswan sinchi orqopiqa.,narracion,informal,enfermedades alto-andinas
La diarrea por agua sucia es frecuente.,Qhelle unumanta q'echaqa ashkatan kan.,narracion,informal,enfermedades alto-andinas
Los parásitos son comunes en los niños.,Kurukuna erqekunapiqa ashkatan kan.,narracion,informal,enfermedades alto-andinas
Doctor; me duele la cabeza,doctor; humaymi nanashan,dialogo medico,formal,malestar
Tengo fiebre desde ayer,noqa kayna p'unchay manta cuerpoy q'oñirishan,dialogo medico,formal,malestar
Me duele mucho el estómago,noqap wiksaymi nishutan nanan,dialogo medico,formal,malestar
Me arde la garganta,kunkay ruparishan,dialogo medico,formal,malestar
Tengo tos seca hace días,noka ch'akiy uhuan kashani kayna p'unchaumanta,dialogo medico,formal,malestar
Usted tiene anemia severa,qan anemiawan kashanki,dialogo medico,formal,evaluacion
