espanol,quechua_texto,cluster_id,cluster_label,tipo_habla,nivel_formalidad,tema
Me siento muy cansado.,Ancha sayk'usqan kachkani.,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duelen los huesos con el frío.,Tulluykunan nanawan chiripipi.,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Tengo mareos frecuentes.,Ashka kutitan umay muyun.,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Me salieron ronchas en los brazos.,Makiykunapi sillukuna lloqsimun.,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Me falta el aire al caminar.,Samay pisiwanmi purishaspay.,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Su hijo tiene infección en el oído.,Wawaykiqpa ninrinpin onqoy kashan.,0,GESTION_SALUD_GENERAL,dialogo medico,informal,diagnostico
Su azúcar en sangre está elevada.,Yawarniykipi misk'iqa ancha hawan kashan.,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,diagnostico
Tiene una fractura en el brazo.,Makiykipin tullu p'akisqa kashan.,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,informal,diagnostico
Usted tiene parásitos intestinales.,Qanqa wiksa kuruyoqmi kanki.,1,DOLOR_LOCALIZADO,dialogo medico,informal,diagnostico
Su hemoglobina está muy baja.,Yawarniykipi hemoglobinayqa ancha urayman kashan.,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,diagnostico
Termine todo el antibiótico.,Tukuy antibioticota tukuchiy.,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,tratamiento
Póngase esta pomada dos veces al día.,Kay hampit'a churakuy iskay kutita sapa p'unchay.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,tratamiento
Tome una cucharada cada ocho horas.,Huk wislla hunt'ata tomay sapa pusaq horasta.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,tratamiento
No tome la pastilla en ayunas.,Ama pastillata tomaychu mana mikhuspa.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,tratamiento
Traiga la tarjeta de vacunación.,Vacuna tarjetaykita apamuy.,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,vacunacion
La vacuna de influenza es cada año.,Influenza vacunaqa sapa watatan.,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,vacunacion
Los abuelos también deben vacunarse.,Machulakunapas vacunakunankutan tiyan.,1,DOLOR_LOCALIZADO,dialogo medico,informal,vacunacion
Esta vacuna protege contra cinco males.,Kay vacunaqa pisqa onqoymanta amachan.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,vacunacion
El dolor de la vacuna pasa rápido.,Vacunaq nanaynin usqhayllata pasapun.,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,vacunacion
Use sombrero para protegerse del sol.,Chukuta churakuy intimanta amachakunaykipaq.,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,prevencion
Camine treinta minutos cada día.,Kimsa chunka minutota puriy sapa p'unchay.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,prevencion
Lave las frutas antes de comerlas.,Frutakunata mayllay manaraq mikhuspayki.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,prevencion
Coma bien durante el embarazo.,Allinta mikhuy onqosqa kashaspayki.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,salud materno-infantil
La leche materna es el mejor alimento.,Mamaq ñukñunmi aswan allin mikhuna.,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,salud materno-infantil
Traiga al bebé para su control de peso.,Wawata apamuy llasayninta qhawachinaykipaq.,0,GESTION_SALUD_GENERAL,dialogo medico,informal,salud materno-infantil
Venga cada mes a controlarse la presión.,Sapa killata hamuy presionniykita qhawachikuq.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,seguimiento
Hágase análisis de azúcar cada tres meses.,Kinsa killamanta yawar misk'i analisisniykita ruwachikuy.,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,seguimiento
¿Le cayó mal algún medicamento?,¿Ima hampichus mana allintan chayasunki?,5,INSTRUCCIONES_MEDICACION_DOSIS,entrevista,informal,seguimiento
Su presión está mejor controlada ahora.,Kunanqa presionniykiqa aswan allinñan kashan.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,seguimiento
Venga cada dos meses por su diabetes.,Iskay killamanta hamuy diabetesniykimanta.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,seguimiento
No corte la mordedura de serpiente.,Ama kuchuychu mach'aqway kanisqanta.,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,informal,emergencias
Dele golpes suaves en la espalda si se atora.,Wasanpi llamp'uta takay sipikunan kaptinqa.,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,informal,emergencias
Manténgalo despierto hasta que llegue ayuda.,Rikch'asqata hap'iy yanapay chayamunankama.,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,emergencias
Aparte objetos peligrosos si convulsiona.,Manchay imakunata karunchay thaltikuptinqa.,1,DOLOR_LOCALIZADO,dialogo medico,informal,emergencias
Traiga al niño si la fiebre no baja.,Wawata apamuy ruphay mana uraykuptinqa.,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,emergencias
Respire profundo cuando se sienta ansioso.,Ukhumanta samay llakisqa kachkaspayki.,0,GESTION_SALUD_GENERAL,dialogo medico,informal,salud mental
Los problemas emocionales necesitan atención.,Sonqo llakiykunaqa qhawana kanan tiyan.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,informal,salud mental
Caminar al aire libre mejora el ánimo.,Hawa wayra ukhuta puriyqa sonqota allinchan.,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,narracion,informal,salud mental
No tenga vergüenza de pedir ayuda.,Ama p'enqakuychu yanapata mañakuspa.,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,informal,salud mental
El alcohol empeora los problemas emocionales.,Tragoman sonqo llakiykunata aswan millayman tukuchin.,4,RESPIRATORIO_CARDIACO_URGENCIA,narracion,informal,salud mental
Proteja sus labios con vaselina.,Simiykikunata wirawan qhaway.,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,informal,enfermedades alto-andinas
El sol quema más fuerte en la altura.,Intiq ruphaynin aswan sinchi orqopiqa.,6,DOLOR_PECHO_RESPIRATORIO,narracion,informal,enfermedades alto-andinas
La diarrea por agua sucia es frecuente.,Qhelle unumanta q'echaqa ashkatan kan.,6,DOLOR_PECHO_RESPIRATORIO,narracion,informal,enfermedades alto-andinas
Los parásitos son comunes en los niños.,Kurukuna erqekunapiqa ashkatan kan.,1,DOLOR_LOCALIZADO,narracion,informal,enfermedades alto-andinas
Doctor; me duele la cabeza,doctor; humaymi nanashan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,malestar
Tengo fiebre desde ayer,noqa kayna p'unchay manta cuerpoy q'oñirishan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,malestar
Me duele mucho el estómago,noqap wiksaymi nishutan nanan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,malestar
Me arde la garganta,kunkay ruparishan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,malestar
Tengo tos seca hace días,noka ch'akiy uhuan kashani kayna p'unchaumanta,1,DOLOR_LOCALIZADO,dialogo medico,formal,malestar
Usted tiene anemia severa,qan anemiawan kashanki,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,evaluacion
Vamos a hacerle una radiografía,kuman orqosayki radiografiata,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,evaluacion
Su presión está muy alta,qanpa presioniki nishuta wichashan,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,evaluacion
Tiene una infección urinaria,qan kashanki infeccion urinariawan,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,formal,evaluacion
Necesitamos hacerle más análisis,ruwasunchis aswan analisista kunata,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,evaluacion
Tome este remedio tres veces al día,chay hampita tumanqui kinsa kutita huk p'unchaypi,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,curacion
Le voy a poner una inyección,kunan churasayki huk inyeccionta,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,curacion
Necesita descansar cinco días,samanayqui pisqa p'unchauta,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,curacion
Tome mucha agua y líquidos calientes,tumanayqui hasqha unuta q'uñita,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,curacion
Vamos a limpiarle la herida,khunan pichasayqui heridayquita,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,curacion
Su bebé necesita la vacuna hoy,wawaykima kunan p'unchay vacunata churasaq,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,formal,inmunizacion
La vacuna puede dar un poco de fiebre,vacuna churasqay q'uñirichinqa,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,inmunizacion
Los niños deben vacunarse a tiempo,chay erq'ekuna vacunakunanqu p'unchauninpi,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,inmunizacion
Póngale un paño húmedo en el brazo,churanqui pañuta ch'aranchaspa maquinman,0,GESTION_SALUD_GENERAL,dialogo medico,formal,inmunizacion
La siguiente dosis es en dos meses,huk dosisniki tupasunki iskay killamanta,1,DOLOR_LOCALIZADO,dialogo medico,formal,inmunizacion
Lávese las manos antes de cocinar,makitita maychikuy huayq'uy kayarinaquipay,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,autocuidado
Hierva el agua antes de tomarla,unuta timpuchi tumanakipaq,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,formal,autocuidado
Use mosquitero para dormir,mosquiterota usay puñunayquipaq,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,autocuidado
Los niños deben comer frutas y verduras,erq'ekuna mikhunanku frutakunata y verdurakunata,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,autocuidado
Evite acercarse a personas con gripe,ama achuyaychu chuqlli runaqunama,1,DOLOR_LOCALIZADO,dialogo medico,formal,autocuidado
Venga a su control prenatal cada mes,hamuy wawaki wiqsayki qhawanapaq sapakilla,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,maternidad
Tome ácido fólico y hierro a diario,tumanki acido folicuta y hierro tawa sapa p'unchay,0,GESTION_SALUD_GENERAL,dialogo medico,formal,maternidad
Si le duele la cabeza fuerte; venga rápido,umayki mishuta nanaqtinqa hamuy phawaylla,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,maternidad
Su bebé está creciendo bien,wawaykika allintan wiñashan,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,maternidad
Las náuseas son normales al inicio,mihusqayki qutichiskayqi normallan qallaripiqa,1,DOLOR_LOCALIZADO,dialogo medico,formal,maternidad
Regrese en una semana para su control,qutimuy huk semanamanta controlnikipaq,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,seguimiento
Si la fiebre vuelve; venga de inmediato,q'oñirinkiy wahamanta hamunki chay ratuta,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,seguimiento
Traiga sus resultados en la próxima cita,apamunki resutadokikunata hamuq citapi,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,seguimiento
¿Se siente mejor con el medicamento?,allinchu kashanki chay hanpiwan?,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,seguimiento
Vamos a revisar su herida hoy,khunan kawasunchis chay heridaquita,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,seguimiento
Llévelo al hospital de urgencia,apay hanpina wasima phawaylla,6,DOLOR_PECHO_RESPIRATORIO,dialogo medico,formal,urgencia
Póngalo de costado si vomita,churay k'achananpanmanta kutichiktin,0,GESTION_SALUD_GENERAL,dialogo medico,formal,urgencia
