espanol,quechua_texto,cluster_id,cluster_label,tema_clean,tipo_habla_clean,nivel_formalidad
Me siento muy cansado.,Ancha sayk'usqan kachkani.,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
Me duelen los huesos con el frío.,Tulluykunan nanawan chiripipi.,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Tengo mareos frecuentes.,Ashka kutitan umay muyun.,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Me salieron ronchas en los brazos.,Makiykunapi sillukuna lloqsimun.,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me falta el aire al caminar.,Samay pisiwanmi purishaspay.,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,respuesta_breve,informal
Su hijo tiene infección en el oído.,Wawaykiqpa ninrinpin onqoy kashan.,1,SALUD_PEDIATRICA_FAMILIAR,DIAGNOSTICO,dialogo_medico,informal
Su azúcar en sangre está elevada.,Yawarniykipi misk'iqa ancha hawan kashan.,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,dialogo_medico,informal
Tiene una fractura en el brazo.,Makiykipin tullu p'akisqa kashan.,2,DOLOR_LOCALIZADO_ESPECIFICO,DIAGNOSTICO,dialogo_medico,informal
Usted tiene parásitos intestinales.,Qanqa wiksa kuruyoqmi kanki.,6,SINTOMAS_SISTEMICOS_PIEL,DIAGNOSTICO,dialogo_medico,informal
Su hemoglobina está muy baja.,Yawarniykipi hemoglobinayqa ancha urayman kashan.,3,EVALUACION_INTENSIDAD_DOLOR,DIAGNOSTICO,dialogo_medico,informal
Termine todo el antibiótico.,Tukuy antibioticota tukuchiy.,4,SEGUIMIENTO_CONTROL_MEDICO,TRATAMIENTO,dialogo_medico,informal
Póngase esta pomada dos veces al día.,Kay hampit'a churakuy iskay kutita sapa p'unchay.,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,dialogo_medico,informal
Tome una cucharada cada ocho horas.,Huk wislla hunt'ata tomay sapa pusaq horasta.,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,dialogo_medico,informal
No tome la pastilla en ayunas.,Ama pastillata tomaychu mana mikhuspa.,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,dialogo_medico,informal
Traiga la tarjeta de vacunación.,Vacuna tarjetaykita apamuy.,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,informal
La vacuna de influenza es cada año.,Influenza vacunaqa sapa watatan.,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,informal
Los abuelos también deben vacunarse.,Machulakunapas vacunakunankutan tiyan.,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,dialogo_medico,informal
Esta vacuna protege contra cinco males.,Kay vacunaqa pisqa onqoymanta amachan.,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,dialogo_medico,informal
El dolor de la vacuna pasa rápido.,Vacunaq nanaynin usqhayllata pasapun.,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,dialogo_medico,informal
Use sombrero para protegerse del sol.,Chukuta churakuy intimanta amachakunaykipaq.,9,OBSERVACION_CAMBIOS_SINTOMAS,PREVENCION,dialogo_medico,informal
Camine treinta minutos cada día.,Kimsa chunka minutota puriy sapa p'unchay.,10,INSTRUCCIONES_MEDICACION_DOSIS,PREVENCION,dialogo_medico,informal
Lave las frutas antes de comerlas.,Frutakunata mayllay manaraq mikhuspayki.,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,dialogo_medico,informal
Coma bien durante el embarazo.,Allinta mikhuy onqosqa kashaspayki.,10,INSTRUCCIONES_MEDICACION_DOSIS,MATERNO_INFANTIL,dialogo_medico,informal
