espanol,quechua_texto,tema_clean,tipo_habla_clean,nivel_formalidad,formal_bin,n_tokens_esp,len_esp,len_que
Me siento muy cansado.,Ancha sayk'usqan kachkani.,SINTOMAS,respuesta_breve,informal,0,4,22,26
Me duelen los huesos con el frío.,Tulluykunan nanawan chiripipi.,SINTOMAS,respuesta_breve,informal,0,7,33,30
Tengo mareos frecuentes.,Ashka kutitan umay muyun.,SINTOMAS,respuesta_breve,informal,0,3,24,25
Me salieron ronchas en los brazos.,Makiykunapi sillukuna lloqsimun.,SINTOMAS,respuesta_breve,informal,0,6,34,32
Me falta el aire al caminar.,Samay pisiwanmi purishaspay.,SINTOMAS,respuesta_breve,informal,0,6,28,28
Su hijo tiene infección en el oído.,Wawaykiqpa ninrinpin onqoy kashan.,DIAGNOSTICO,dialogo_medico,informal,0,7,35,34
Su azúcar en sangre está elevada.,Yawarniykipi misk'iqa ancha hawan kashan.,DIAGNOSTICO,dialogo_medico,informal,0,6,33,41
Tiene una fractura en el brazo.,Makiykipin tullu p'akisqa kashan.,DIAGNOSTICO,dialogo_medico,informal,0,6,31,33
Usted tiene parásitos intestinales.,Qanqa wiksa kuruyoqmi kanki.,DIAGNOSTICO,dialogo_medico,informal,0,4,35,28
Su hemoglobina está muy baja.,Yawarniykipi hemoglobinayqa ancha urayman kashan.,DIAGNOSTICO,dialogo_medico,informal,0,5,29,49
Termine todo el antibiótico.,Tukuy antibioticota tukuchiy.,TRATAMIENTO,dialogo_medico,informal,0,4,28,29
Póngase esta pomada dos veces al día.,Kay hampit'a churakuy iskay kutita sapa p'unchay.,TRATAMIENTO,dialogo_medico,informal,0,7,37,49
Tome una cucharada cada ocho horas.,Huk wislla hunt'ata tomay sapa pusaq horasta.,TRATAMIENTO,dialogo_medico,informal,0,6,35,45
No tome la pastilla en ayunas.,Ama pastillata tomaychu mana mikhuspa.,TRATAMIENTO,dialogo_medico,informal,0,6,30,38
Traiga la tarjeta de vacunación.,Vacuna tarjetaykita apamuy.,PREVENCION,dialogo_medico,informal,0,5,32,27
La vacuna de influenza es cada año.,Influenza vacunaqa sapa watatan.,PREVENCION,dialogo_medico,informal,0,7,35,32
Los abuelos también deben vacunarse.,Machulakunapas vacunakunankutan tiyan.,PREVENCION,dialogo_medico,informal,0,5,36,38
Esta vacuna protege contra cinco males.,Kay vacunaqa pisqa onqoymanta amachan.,PREVENCION,dialogo_medico,informal,0,6,39,38
El dolor de la vacuna pasa rápido.,Vacunaq nanaynin usqhayllata pasapun.,PREVENCION,dialogo_medico,informal,0,7,34,37
Use sombrero para protegerse del sol.,Chukuta churakuy intimanta amachakunaykipaq.,PREVENCION,dialogo_medico,informal,0,6,37,44
Camine treinta minutos cada día.,Kimsa chunka minutota puriy sapa p'unchay.,PREVENCION,dialogo_medico,informal,0,5,32,42
Lave las frutas antes de comerlas.,Frutakunata mayllay manaraq mikhuspayki.,PREVENCION,dialogo_medico,informal,0,6,34,40
Coma bien durante el embarazo.,Allinta mikhuy onqosqa kashaspayki.,MATERNO_INFANTIL,dialogo_medico,informal,0,5,30,35
La leche materna es el mejor alimento.,Mamaq ñukñunmi aswan allin mikhuna.,MATERNO_INFANTIL,dialogo_medico,informal,0,7,38,35
Traiga al bebé para su control de peso.,Wawata apamuy llasayninta qhawachinaykipaq.,MATERNO_INFANTIL,dialogo_medico,informal,0,8,39,43
Venga cada mes a controlarse la presión.,Sapa killata hamuy presionniykita qhawachikuq.,SEGUIMIENTO,dialogo_medico,informal,0,7,40,46
Hágase análisis de azúcar cada tres meses.,Kinsa killamanta yawar misk'i analisisniykita ruwachikuy.,SEGUIMIENTO,dialogo_medico,informal,0,7,42,57
¿Le cayó mal algún medicamento?,¿Ima hampichus mana allintan chayasunki?,SEGUIMIENTO,entrevista,informal,0,5,31,40
Su presión está mejor controlada ahora.,Kunanqa presionniykiqa aswan allinñan kashan.,SEGUIMIENTO,dialogo_medico,informal,0,6,39,45
Venga cada dos meses por su diabetes.,Iskay killamanta hamuy diabetesniykimanta.,SEGUIMIENTO,dialogo_medico,informal,0,7,37,42
